Date,ONI,SPI_ideam,SPI_merge,SPEI
2020-09-01,-0.89,-0.2831047384935947,-1.0306388967689297,1.226
2020-10-01,-1.17,-0.4074311830375967,-2.166549646893266,-0.07
2020-11-01,-1.27,0.2317817578214274,-2.3790287936755434,-0.231
2020-12-01,-1.19,0.5948550875738331,-2.392206095555754,-1.009
2021-01-01,-1.05,0.8418127609072618,0.2929082446378167,0.208
2021-02-01,-0.93,0.2577817670510885,0.47266485163936695,0.259
2021-03-01,-0.84,0.6076856603338401,0.5978914020561192,0.678
2021-04-01,-0.66,0.3935129202521454,-1.0165826484716298,0.504
2021-05-01,-0.48,0.7142383438966293,-1.110383475864843,0.581
2021-06-01,-0.38,0.2470258304493879,-2.116535859770001,-0.362
2021-07-01,-0.4,0.0515663761188456,-3.030142043256301,-0.268
2021-08-01,-0.49,-0.1896531964248765,-3.3939467536836534,0.174
2021-09-01,-0.67,0.192777207545395,-3.3613581289184657,0.11
2021-10-01,-0.81,0.01189238705006065,-2.6730617383327404,1.235
2021-11-01,-0.98,-0.6006600726960042,-2.3373579460368985,0.363
2021-12-01,-0.98,-1.277408773786861,-2.3566554507896633,0.157
2022-01-01,,,-1.9730713576324896,
2022-02-01,,,-0.6075759620038734,
2022-03-01,,,0.649725380494985,
2022-04-01,,,1.4128376098603024,
2022-05-01,,,1.5109469971666751,
2022-06-01,,,1.3847018184015607,
2022-07-01,,,0.9847515745839968,
2022-08-01,,,0.8802118223877539,
2022-09-01,,,1.3350189818389855,
2022-10-01,,,1.783602395280616,
2022-11-01,,,0.9318976748749505,
2022-12-01,,,-0.12351517730946288,
